Frecuencia_kHz,H0_kA_m,Pendiente,Tipo,Amplitud,Cluster
81,20,7.555268782608695,Pendiente,0.7708056913043478,0
81,24,7.95138595652174,Pendiente,0.960024091304348,0
81,27,8.017845913043478,Pendiente,1.1183658695652174,0
81,31,7.99175143478261,Pendiente,1.266753956521739,0
81,35,7.265337073913044,Pendiente,1.2906191030434782,0
81,38,7.927140043478261,Pendiente,1.5561565652173917,0
81,42,8.138385391304347,Pendiente,1.7527277391304346,0
81,46,8.260336260869565,Pendiente,1.935456956521739,0
81,50,8.37964042857143,Pendiente,2.1196161428571423,0
81,53,8.127797130434782,Pendiente,2.2114667826086953,0
81,57,8.442641869565218,Pendiente,2.4612945217391298,0
135,20,8.23954968181818,Pendiente,1.3911428181818182,0
135,24,8.524147727272727,Pendiente,1.7082999090909092,0
135,27,8.419178727272728,Pendiente,1.951288863636364,0
135,31,8.615198,Pendiente,2.2708322727272723,0
135,35,9.030563727272726,Pendiente,2.6685171818181814,0
135,38,8.541531818181818,Pendiente,2.795394681818182,0
135,42,8.468030954545455,Pendiente,3.042716681818182,0
135,46,8.209824818181819,Pendiente,3.2104289999999995,0
135,50,8.841971454545455,Pendiente,3.7439374545454545,1
135,53,8.347498772727272,Pendiente,3.798782727272727,0
135,57,8.264273454545455,Pendiente,4.02988759090909,0
212,20,8.519442409090908,Pendiente,2.2767455909090906,0
212,24,9.848220863636362,Pendiente,3.1179176818181813,2
212,27,9.346408181818182,Pendiente,3.4239460454545454,1
212,31,8.705260954545453,Pendiente,3.623724772727272,0
212,35,8.971598666666667,Pendiente,4.181899190476192,1
212,38,8.887995045454545,Pendiente,4.584324363636362,1
212,42,9.00931568181818,Pendiente,5.096576409090909,1
212,46,8.865631409090907,Pendiente,5.459286,1
212,50,9.132945500000002,Pendiente,6.094387090909091,1
212,53,8.758565272727271,Pendiente,6.277662590909091,1
212,57,8.970484090909089,Pendiente,6.8654495909090905,1
239,20,8.431696590909091,Pendiente,2.529356681818182,0
239,24,8.109842863636365,Pendiente,2.886799045454546,0
239,27,8.627953363636363,Pendiente,3.556808181818182,0
239,31,8.660616272727273,Pendiente,4.055270318181818,1
239,35,8.782455272727272,Pendiente,4.6039508181818185,1
239,38,8.47771290909091,Pendiente,4.917562181818181,1
239,42,8.555067636363635,Pendiente,5.444121772727272,1
239,46,8.802787727272728,Pendiente,6.095188045454546,1
239,50,8.660588045454546,Pendiente,6.483257636363637,1
239,53,8.513791409090908,Pendiente,6.8506339090909085,1
239,57,8.348229272727272,Pendiente,7.184306727272728,1
270,20,9.022472818181818,Pendiente,3.0515754545454543,0
270,24,11.646575909090908,Pendiente,4.676130590909091,2
270,27,8.89518209090909,Pendiente,4.132377363636363,1
270,31,9.193753363636365,Pendiente,4.852015909090908,1
270,35,8.769110227272726,Pendiente,5.181279863636364,1
270,38,9.49131759090909,Pendiente,6.208661409090908,2
270,42,8.687643727272725,Pendiente,6.249812545454546,1
270,46,9.750460227272725,Pendiente,7.631333818181818,2
270,50,9.626966,Pendiente,8.144148772727274,2
270,53,8.376265545454546,Pendiente,7.617962818181815,1
270,57,10.083241681818182,Pendiente,9.80792790909091,2
300,20,8.716060954545455,Pendiente,3.400937863636363,0
300,24,8.790484954545455,Pendiente,4.069087681818183,1
300,27,8.680670181818183,Pendiente,4.6485045000000005,1
300,31,8.710736409090908,Pendiente,5.300714181818181,1
300,35,8.762075454545455,Pendiente,5.970327727272727,1
300,38,8.71738356521739,Pendiente,6.576010826086956,1
300,42,8.865506136363637,Pendiente,7.333149545454546,1
300,46,8.895793727272727,Pendiente,8.007751954545455,1
300,50,9.001451545454545,Pendiente,8.758615818181818,1
300,53,8.817954227272727,Pendiente,9.223089863636362,1
300,57,8.971072318181816,Pendiente,10.03444181818182,1
